activity,superclass,class,step,organ,mechanism,keywords
Pollen Exposure,Environmental Stimulus,Pollen Exposure,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, Allergens activate immune histamine response.","pollen, spring, allergy"
Pollen Exposure,Environmental Stimulus,Pollen Exposure,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","pollen, spring, allergy"
Pollen Exposure,Environmental Stimulus,Pollen Exposure,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"pollen, spring, allergy"
Stuffy Room,Environmental Stimulus,Stuffy Room,1,sensory receptors,Environmental signals activate specialized sensory receptors.,"closed room, air, stuffy"
Stuffy Room,Environmental Stimulus,Stuffy Room,2,brain,Sensory information is interpreted and compared with expectations.,"closed room, air, stuffy"
Stuffy Room,Environmental Stimulus,Stuffy Room,3,autonomic nervous system,Autonomic responses adjust internal activity to accommodate the stimulus.,"closed room, air, stuffy"
Stuffy Room,Environmental Stimulus,Stuffy Room,4,local tissues,"Cells at the exposed site respond directly; for this stimulus, CO₂ buildup reduces focus and oxygen levels.","closed room, air, stuffy"
Stuffy Room,Environmental Stimulus,Stuffy Room,5,endocrine system,"If prolonged, hormonal systems adjust to help the body cope.","closed room, air, stuffy"
Stuffy Room,Environmental Stimulus,Stuffy Room,6,whole body,Organ systems coordinate to adapt to environmental changes and restore balance.,"closed room, air, stuffy"
Working,Cognitive Load,Working,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","work, office, task, meeting, job"
Working,Cognitive Load,Working,2,association cortex,Association regions integrate new information with memory and context.,"work, office, task, meeting, job"
Working,Cognitive Load,Working,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"work, office, task, meeting, job"
Working,Cognitive Load,Working,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Sustained prefrontal activation supports planning and attention, with mild cortisol increase for energy mobilization.","work, office, task, meeting, job"
Working,Cognitive Load,Working,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","work, office, task, meeting, job"
Working,Cognitive Load,Working,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","work, office, task, meeting, job"
Studying,Cognitive Load,Studying,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","study, homework, revision, exam"
Studying,Cognitive Load,Studying,2,association cortex,Association regions integrate new information with memory and context.,"study, homework, revision, exam"
Studying,Cognitive Load,Studying,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"study, homework, revision, exam"
Studying,Cognitive Load,Studying,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Prefrontal-hippocampal circuits coordinate memory formation, increasing mental fatigue.","study, homework, revision, exam"
Studying,Cognitive Load,Studying,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","study, homework, revision, exam"
Studying,Cognitive Load,Studying,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","study, homework, revision, exam"
Writing,Cognitive Load,Writing,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","writing, essay, report, paper"
Writing,Cognitive Load,Writing,2,association cortex,Association regions integrate new information with memory and context.,"writing, essay, report, paper"
Writing,Cognitive Load,Writing,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"writing, essay, report, paper"
Writing,Cognitive Load,Writing,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Executive control and language networks engage continuously, increasing glucose consumption.","writing, essay, report, paper"
Writing,Cognitive Load,Writing,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","writing, essay, report, paper"
Writing,Cognitive Load,Writing,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","writing, essay, report, paper"
Deep Thinking,Cognitive Load,Deep Thinking,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","thinking, reasoning, analyzing, logic"
Deep Thinking,Cognitive Load,Deep Thinking,2,association cortex,Association regions integrate new information with memory and context.,"thinking, reasoning, analyzing, logic"
Deep Thinking,Cognitive Load,Deep Thinking,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"thinking, reasoning, analyzing, logic"
Deep Thinking,Cognitive Load,Deep Thinking,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Analytical reasoning activates prefrontal cortex, increasing cognitive strain.","thinking, reasoning, analyzing, logic"
Deep Thinking,Cognitive Load,Deep Thinking,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","thinking, reasoning, analyzing, logic"
Deep Thinking,Cognitive Load,Deep Thinking,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","thinking, reasoning, analyzing, logic"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","brainstorm, creativity, idea"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,2,association cortex,Association regions integrate new information with memory and context.,"brainstorm, creativity, idea"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"brainstorm, creativity, idea"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Divergent thinking elevates dopamine and enhances associative networks.","brainstorm, creativity, idea"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","brainstorm, creativity, idea"
Creative Brainstorming,Cognitive Load,Creative Brainstorming,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","brainstorm, creativity, idea"
Multitasking,Cognitive Load,Multitasking,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","multitask, switching, juggling"
Multitasking,Cognitive Load,Multitasking,2,association cortex,Association regions integrate new information with memory and context.,"multitask, switching, juggling"
Multitasking,Cognitive Load,Multitasking,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"multitask, switching, juggling"
Multitasking,Cognitive Load,Multitasking,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Divided attention stresses working memory and increases mental load.","multitask, switching, juggling"
Multitasking,Cognitive Load,Multitasking,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","multitask, switching, juggling"
Multitasking,Cognitive Load,Multitasking,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","multitask, switching, juggling"
Meeting Discussion,Cognitive Load,Meeting Discussion,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","meeting, discussion, talk"
Meeting Discussion,Cognitive Load,Meeting Discussion,2,association cortex,Association regions integrate new information with memory and context.,"meeting, discussion, talk"
Meeting Discussion,Cognitive Load,Meeting Discussion,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"meeting, discussion, talk"
Meeting Discussion,Cognitive Load,Meeting Discussion,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Social cognition and attention networks activate simultaneously, causing fatigue.","meeting, discussion, talk"
Meeting Discussion,Cognitive Load,Meeting Discussion,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","meeting, discussion, talk"
Meeting Discussion,Cognitive Load,Meeting Discussion,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","meeting, discussion, talk"
Programming,Cognitive Load,Programming,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","coding, programming, debugging"
Programming,Cognitive Load,Programming,2,association cortex,Association regions integrate new information with memory and context.,"coding, programming, debugging"
Programming,Cognitive Load,Programming,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"coding, programming, debugging"
Programming,Cognitive Load,Programming,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Logical reasoning and debugging engage both working memory and focus circuits.","coding, programming, debugging"
Programming,Cognitive Load,Programming,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","coding, programming, debugging"
Programming,Cognitive Load,Programming,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","coding, programming, debugging"
Problem Solving,Cognitive Load,Problem Solving,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","puzzle, problem, challenge"
Problem Solving,Cognitive Load,Problem Solving,2,association cortex,Association regions integrate new information with memory and context.,"puzzle, problem, challenge"
Problem Solving,Cognitive Load,Problem Solving,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"puzzle, problem, challenge"
Problem Solving,Cognitive Load,Problem Solving,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Activates reward prediction circuits and prefrontal effort networks.","puzzle, problem, challenge"
Problem Solving,Cognitive Load,Problem Solving,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","puzzle, problem, challenge"
Problem Solving,Cognitive Load,Problem Solving,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","puzzle, problem, challenge"
Exam Preparation,Cognitive Load,Exam Preparation,1,sensory cortex,"Sensory cortices process incoming information such as text, sound, or imagery.","exam, revision, cramming"
Exam Preparation,Cognitive Load,Exam Preparation,2,association cortex,Association regions integrate new information with memory and context.,"exam, revision, cramming"
Exam Preparation,Cognitive Load,Exam Preparation,3,prefrontal cortex,The prefrontal cortex maintains working memory and goal-directed processing.,"exam, revision, cramming"
Exam Preparation,Cognitive Load,Exam Preparation,4,autonomic nervous system,"As cognitive effort continues, arousal adjusts; during this task, Stress elevates cortisol while memory circuits intensify encoding.","exam, revision, cramming"
Exam Preparation,Cognitive Load,Exam Preparation,5,limbic system,"Emotional circuits mark the experience as rewarding, stressful, or neutral.","exam, revision, cramming"
Exam Preparation,Cognitive Load,Exam Preparation,6,whole body,"Prolonged cognitive load alters sleep, appetite, and muscular tension.","exam, revision, cramming"
Hugging,Social Behavior,Hugging,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"hug, cuddle, warmth"
Hugging,Social Behavior,Hugging,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","hug, cuddle, warmth"
Hugging,Social Behavior,Hugging,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","hug, cuddle, warmth"
Hugging,Social Behavior,Hugging,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Physical touch increases oxytocin and reduces stress signals.","hug, cuddle, warmth"
Hugging,Social Behavior,Hugging,5,immune system,Chronic social patterns influence inflammatory balance.,"hug, cuddle, warmth"
Hugging,Social Behavior,Hugging,6,whole body,Social interactions shape long-term physiological resilience.,"hug, cuddle, warmth"
Arguing,Social Behavior,Arguing,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"argue, fight, conflict"
Arguing,Social Behavior,Arguing,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","argue, fight, conflict"
Arguing,Social Behavior,Arguing,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","argue, fight, conflict"
Arguing,Social Behavior,Arguing,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Conflict elevates adrenaline, heart rate, and emotional arousal.","argue, fight, conflict"
Arguing,Social Behavior,Arguing,5,immune system,Chronic social patterns influence inflammatory balance.,"argue, fight, conflict"
Arguing,Social Behavior,Arguing,6,whole body,Social interactions shape long-term physiological resilience.,"argue, fight, conflict"
Laughing,Social Behavior,Laughing,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"laugh, humor, giggle"
Laughing,Social Behavior,Laughing,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","laugh, humor, giggle"
Laughing,Social Behavior,Laughing,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","laugh, humor, giggle"
Laughing,Social Behavior,Laughing,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Laughter releases dopamine and endorphins, improving mood.","laugh, humor, giggle"
Laughing,Social Behavior,Laughing,5,immune system,Chronic social patterns influence inflammatory balance.,"laugh, humor, giggle"
Laughing,Social Behavior,Laughing,6,whole body,Social interactions shape long-term physiological resilience.,"laugh, humor, giggle"
Crying,Social Behavior,Crying,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"cry, tears, sadness"
Crying,Social Behavior,Crying,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","cry, tears, sadness"
Crying,Social Behavior,Crying,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","cry, tears, sadness"
Crying,Social Behavior,Crying,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Emotional release lowers tension and activates parasympathetic recovery.","cry, tears, sadness"
Crying,Social Behavior,Crying,5,immune system,Chronic social patterns influence inflammatory balance.,"cry, tears, sadness"
Crying,Social Behavior,Crying,6,whole body,Social interactions shape long-term physiological resilience.,"cry, tears, sadness"
Group Activity,Social Behavior,Group Activity,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"group, friends, gathering"
Group Activity,Social Behavior,Group Activity,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","group, friends, gathering"
Group Activity,Social Behavior,Group Activity,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","group, friends, gathering"
Group Activity,Social Behavior,Group Activity,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Collective engagement boosts oxytocin and belonging.","group, friends, gathering"
Group Activity,Social Behavior,Group Activity,5,immune system,Chronic social patterns influence inflammatory balance.,"group, friends, gathering"
Group Activity,Social Behavior,Group Activity,6,whole body,Social interactions shape long-term physiological resilience.,"group, friends, gathering"
Social Media Browsing,Social Behavior,Social Media Browsing,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"scrolling, phone, social media"
Social Media Browsing,Social Behavior,Social Media Browsing,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","scrolling, phone, social media"
Social Media Browsing,Social Behavior,Social Media Browsing,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","scrolling, phone, social media"
Social Media Browsing,Social Behavior,Social Media Browsing,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Rapid stimuli cause dopamine spikes and mental fatigue.","scrolling, phone, social media"
Social Media Browsing,Social Behavior,Social Media Browsing,5,immune system,Chronic social patterns influence inflammatory balance.,"scrolling, phone, social media"
Social Media Browsing,Social Behavior,Social Media Browsing,6,whole body,Social interactions shape long-term physiological resilience.,"scrolling, phone, social media"
Competition,Social Behavior,Competition,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"competition, contest, challenge"
Competition,Social Behavior,Competition,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","competition, contest, challenge"
Competition,Social Behavior,Competition,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","competition, contest, challenge"
Competition,Social Behavior,Competition,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Raises testosterone and adrenaline, sharpening focus.","competition, contest, challenge"
Competition,Social Behavior,Competition,5,immune system,Chronic social patterns influence inflammatory balance.,"competition, contest, challenge"
Competition,Social Behavior,Competition,6,whole body,Social interactions shape long-term physiological resilience.,"competition, contest, challenge"
Cooperation,Social Behavior,Cooperation,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"teamwork, collaborate"
Cooperation,Social Behavior,Cooperation,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","teamwork, collaborate"
Cooperation,Social Behavior,Cooperation,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","teamwork, collaborate"
Cooperation,Social Behavior,Cooperation,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Shared goals increase trust and oxytocin signaling.","teamwork, collaborate"
Cooperation,Social Behavior,Cooperation,5,immune system,Chronic social patterns influence inflammatory balance.,"teamwork, collaborate"
Cooperation,Social Behavior,Cooperation,6,whole body,Social interactions shape long-term physiological resilience.,"teamwork, collaborate"
Loneliness,Social Behavior,Loneliness,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"lonely, isolation"
Loneliness,Social Behavior,Loneliness,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","lonely, isolation"
Loneliness,Social Behavior,Loneliness,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","lonely, isolation"
Loneliness,Social Behavior,Loneliness,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Low social contact decreases oxytocin and increases stress.","lonely, isolation"
Loneliness,Social Behavior,Loneliness,5,immune system,Chronic social patterns influence inflammatory balance.,"lonely, isolation"
Loneliness,Social Behavior,Loneliness,6,whole body,Social interactions shape long-term physiological resilience.,"lonely, isolation"
Public Speaking,Social Behavior,Public Speaking,1,social cognition networks,Brain regions evaluate social cues and emotional expressions.,"speech, presentation, stage"
Public Speaking,Social Behavior,Public Speaking,2,reward system,"Reward pathways interpret the social experience as positive, negative, or neutral.","speech, presentation, stage"
Public Speaking,Social Behavior,Public Speaking,3,autonomic nervous system,"Heart rate, breathing, and gut sensations shift with social context.","speech, presentation, stage"
Public Speaking,Social Behavior,Public Speaking,4,endocrine system,"Hormonal responses mediate bonding or stress; in this behavior, Activates sympathetic system, raising adrenaline and attention.","speech, presentation, stage"
Public Speaking,Social Behavior,Public Speaking,5,immune system,Chronic social patterns influence inflammatory balance.,"speech, presentation, stage"
Public Speaking,Social Behavior,Public Speaking,6,whole body,Social interactions shape long-term physiological resilience.,"speech, presentation, stage"
Cortisol Spike,Hormonal Activity,Cortisol Spike,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"stress, deadline, pressure"
Cortisol Spike,Hormonal Activity,Cortisol Spike,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"stress, deadline, pressure"
Cortisol Spike,Hormonal Activity,Cortisol Spike,3,target organs,"Cells with appropriate receptors respond; in this case, Stress activates the HPA axis, increasing cortisol release.","stress, deadline, pressure"
Cortisol Spike,Hormonal Activity,Cortisol Spike,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"stress, deadline, pressure"
Cortisol Spike,Hormonal Activity,Cortisol Spike,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"stress, deadline, pressure"
Cortisol Spike,Hormonal Activity,Cortisol Spike,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"stress, deadline, pressure"
Dopamine Burst,Hormonal Activity,Dopamine Burst,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"reward, excitement, motivation"
Dopamine Burst,Hormonal Activity,Dopamine Burst,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"reward, excitement, motivation"
Dopamine Burst,Hormonal Activity,Dopamine Burst,3,target organs,"Cells with appropriate receptors respond; in this case, Reward or anticipation stimulates dopamine pathways.","reward, excitement, motivation"
Dopamine Burst,Hormonal Activity,Dopamine Burst,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"reward, excitement, motivation"
Dopamine Burst,Hormonal Activity,Dopamine Burst,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"reward, excitement, motivation"
Dopamine Burst,Hormonal Activity,Dopamine Burst,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"reward, excitement, motivation"
Serotonin Boost,Hormonal Activity,Serotonin Boost,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"sunlight, mood, walk"
Serotonin Boost,Hormonal Activity,Serotonin Boost,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"sunlight, mood, walk"
Serotonin Boost,Hormonal Activity,Serotonin Boost,3,target organs,"Cells with appropriate receptors respond; in this case, Sunlight and positive mood elevate serotonin.","sunlight, mood, walk"
Serotonin Boost,Hormonal Activity,Serotonin Boost,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"sunlight, mood, walk"
Serotonin Boost,Hormonal Activity,Serotonin Boost,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"sunlight, mood, walk"
Serotonin Boost,Hormonal Activity,Serotonin Boost,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"sunlight, mood, walk"
Oxytocin Release,Hormonal Activity,Oxytocin Release,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"hug, affection, love"
Oxytocin Release,Hormonal Activity,Oxytocin Release,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"hug, affection, love"
Oxytocin Release,Hormonal Activity,Oxytocin Release,3,target organs,"Cells with appropriate receptors respond; in this case, Bonding behaviors strengthen social connection.","hug, affection, love"
Oxytocin Release,Hormonal Activity,Oxytocin Release,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"hug, affection, love"
Oxytocin Release,Hormonal Activity,Oxytocin Release,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"hug, affection, love"
Oxytocin Release,Hormonal Activity,Oxytocin Release,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"hug, affection, love"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"sleep, night, dark"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"sleep, night, dark"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,3,target organs,"Cells with appropriate receptors respond; in this case, Darkness triggers pineal gland to promote sleep.","sleep, night, dark"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"sleep, night, dark"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"sleep, night, dark"
Melatonin Secretion,Hormonal Activity,Melatonin Secretion,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"sleep, night, dark"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"rush, fear, thrill"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"rush, fear, thrill"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,3,target organs,"Cells with appropriate receptors respond; in this case, Fight-or-flight response increases heart rate and alertness.","rush, fear, thrill"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"rush, fear, thrill"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"rush, fear, thrill"
Adrenaline Surge,Hormonal Activity,Adrenaline Surge,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"rush, fear, thrill"
Insulin Release,Hormonal Activity,Insulin Release,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"carbs, food, sugar"
Insulin Release,Hormonal Activity,Insulin Release,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"carbs, food, sugar"
Insulin Release,Hormonal Activity,Insulin Release,3,target organs,"Cells with appropriate receptors respond; in this case, Carbohydrate intake increases insulin for glucose uptake.","carbs, food, sugar"
Insulin Release,Hormonal Activity,Insulin Release,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"carbs, food, sugar"
Insulin Release,Hormonal Activity,Insulin Release,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"carbs, food, sugar"
Insulin Release,Hormonal Activity,Insulin Release,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"carbs, food, sugar"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"hunger, empty, appetite"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"hunger, empty, appetite"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,3,target organs,"Cells with appropriate receptors respond; in this case, Empty stomach triggers hunger hormone.","hunger, empty, appetite"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"hunger, empty, appetite"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"hunger, empty, appetite"
Ghrelin Rise,Hormonal Activity,Ghrelin Rise,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"hunger, empty, appetite"
Leptin Signaling,Hormonal Activity,Leptin Signaling,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"full, satisfied"
Leptin Signaling,Hormonal Activity,Leptin Signaling,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"full, satisfied"
Leptin Signaling,Hormonal Activity,Leptin Signaling,3,target organs,"Cells with appropriate receptors respond; in this case, Fullness reduces appetite through leptin pathways.","full, satisfied"
Leptin Signaling,Hormonal Activity,Leptin Signaling,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"full, satisfied"
Leptin Signaling,Hormonal Activity,Leptin Signaling,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"full, satisfied"
Leptin Signaling,Hormonal Activity,Leptin Signaling,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"full, satisfied"
Thyroid Activation,Hormonal Activity,Thyroid Activation,1,endocrine gland,An endocrine gland detects internal states and adjusts hormone output.,"metabolism, energy"
Thyroid Activation,Hormonal Activity,Thyroid Activation,2,bloodstream,Hormones travel through the bloodstream to reach distant tissues.,"metabolism, energy"
Thyroid Activation,Hormonal Activity,Thyroid Activation,3,target organs,"Cells with appropriate receptors respond; in this case, Regulates metabolism and temperature control.","metabolism, energy"
Thyroid Activation,Hormonal Activity,Thyroid Activation,4,feedback sensors,Sensors in the brain or glands monitor the effect for feedback control.,"metabolism, energy"
Thyroid Activation,Hormonal Activity,Thyroid Activation,5,kidney and liver,Kidneys and liver clear hormones and metabolites.,"metabolism, energy"
Thyroid Activation,Hormonal Activity,Thyroid Activation,6,whole body,Hormonal patterns coordinate multi-organ adaptation.,"metabolism, energy"
Reading,Cognitive & Sensory,Reading,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","reading, book, novel"
Reading,Cognitive & Sensory,Reading,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"reading, book, novel"
Reading,Cognitive & Sensory,Reading,3,association cortex,Association areas link sensory input with memories and meaning.,"reading, book, novel"
Reading,Cognitive & Sensory,Reading,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Language processing and imagination networks engage deeply.","reading, book, novel"
Reading,Cognitive & Sensory,Reading,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"reading, book, novel"
Reading,Cognitive & Sensory,Reading,6,whole body,The experience modifies physiological readiness and future behavior.,"reading, book, novel"
Music Listening,Cognitive & Sensory,Music Listening,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","music, song, beat"
Music Listening,Cognitive & Sensory,Music Listening,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"music, song, beat"
Music Listening,Cognitive & Sensory,Music Listening,3,association cortex,Association areas link sensory input with memories and meaning.,"music, song, beat"
Music Listening,Cognitive & Sensory,Music Listening,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Rhythm and melody activate emotional memory circuits.","music, song, beat"
Music Listening,Cognitive & Sensory,Music Listening,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"music, song, beat"
Music Listening,Cognitive & Sensory,Music Listening,6,whole body,The experience modifies physiological readiness and future behavior.,"music, song, beat"
Drawing,Cognitive & Sensory,Drawing,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","drawing, art, sketch"
Drawing,Cognitive & Sensory,Drawing,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"drawing, art, sketch"
